Time,rep1_100L,rep1_90L_10Y,rep1_80L_20Y,rep1_70L_30Y,rep1_60L_40Y,rep1_50L_50Y,rep1_40L_60Y,rep1_30L_70Y,rep1_20L_80Y,rep1_10L_90Y,rep1_100Y,rep2_100L,rep2_90L_10Y,rep2_80L_20Y,rep2_70L_30Y,rep2_60L_40Y,rep2_50L_50Y,rep2_40L_60Y,rep2_30L_70Y,rep2_20L_80Y,rep2_10L_90Y,rep2_100Y,rep3_100L,rep3_90L_10Y,rep3_80L_20Y,rep3_70L_30Y,rep3_60L_40Y,rep3_50L_50Y,rep3_40L_60Y,rep3_30L_70Y,rep3_20L_80Y,rep3_10L_90Y,rep3_100Y,rep4_100L,rep4_90L_10Y,rep4_80L_20Y,rep4_70L_30Y,rep4_60L_40Y,rep4_50L_50Y,rep4_40L_60Y,rep4_30L_70Y,rep4_20L_80Y,rep4_10L_90Y,rep4_100Y,rep5_100Y,rep7_100Y,rep5_100L,rep6_100L,rep7_100L
0,0.001,0.001,0.011,0,0.02,0.018,-0.001,-0.001,0.001,-0.002,0.002,0.002,0.016,0.017,0.002,-0.002,0.031,0,-0.001,-0.001,-0.001,0.03,0.001,0.001,-0.001,0.001,0.001,0.003,0.002,0.003,-0.001,0,0,0.003,-0.001,0.022,0.012,-0.001,0.019,-0.002,-0.002,-0.001,-0.001,0.036,0,0,0,0,0
0.01388889,0.002,0.001,0.012,0.003,0.022,0.017,0.003,0.003,0.003,0,0.002,0.002,0.015,0.017,0.002,-0.002,0.032,0.001,0,0,-0.001,0.031,0.001,0.002,0,0.004,0.004,0.006,0.004,0.005,0.001,0.001,0.001,0.003,0,0.022,0.013,-0.001,0.018,-0.002,-0.002,0,-0.001,0.033,0,0,0,0,0
0.02777778,0.003,0.002,0.013,0.005,0.023,0.018,0.009,0.009,0.005,0.001,0.002,0.004,0.014,0.017,0.002,-0.001,0.034,0.002,0,0,-0.001,0.031,0.002,0.003,0.002,0.006,0.006,0.01,0.007,0.006,0.003,0.002,0.001,0.003,0.001,0.023,0.013,0,0.018,-0.001,-0.001,0,0.003,0.033,0,0,0,0,0
0.04166667,0.004,0.003,0.015,0.005,0.024,0.018,0.009,0.01,0.006,0.001,0.002,0.004,0.015,0.017,0.003,0,0.035,0.004,0.002,0,0,0.031,0.003,0.004,0.002,0.007,0.008,0.01,0.008,0.007,0.004,0.002,0.001,0.004,0.002,0.023,0.014,0.002,0.017,0,0.001,0.001,0.003,0.038,0,0,0,0,0
0.05555556,0.004,0.004,0.015,0.006,0.024,0.018,0.008,0.009,0.005,0.001,0.005,0.004,0.015,0.018,0.004,0,0.035,0.004,0.003,0.001,0.001,0.031,0.003,0.004,0.002,0.007,0.008,0.009,0.008,0.006,0.003,0.002,0.001,0.005,0.002,0.023,0.014,0.003,0.018,0.001,0.001,0.001,0.003,0.036,0,0,0,0,0
0.06944444,0.005,0.004,0.015,0.006,0.024,0.018,0.005,0.006,0.004,0.001,0.005,0.005,0.016,0.019,0.005,0.001,0.036,0.005,0.003,0.002,0.002,0.031,0.004,0.005,0.002,0.007,0.007,0.009,0.007,0.007,0.002,0.002,0.002,0.005,0.003,0.023,0.016,0.003,0.019,0.002,0.001,0.002,0.003,0.037,0,0,0,0,0.001
0.08333333,0.006,0.005,0.016,0.006,0.024,0.018,0.004,0.004,0.004,0.001,0.005,0.006,0.016,0.019,0.006,0.003,0.036,0.006,0.003,0.002,0.002,0.031,0.004,0.006,0.003,0.007,0.007,0.009,0.007,0.007,0.002,0.003,0.002,0.005,0.004,0.024,0.017,0.004,0.019,0.003,0.001,0.003,0.002,0.037,0,0,0,0,0.003
0.09722222,0.007,0.006,0.017,0.006,0.024,0.019,0.004,0.003,0.004,0.001,0.005,0.006,0.017,0.02,0.007,0.003,0.036,0.006,0.004,0.003,0.003,0.032,0.005,0.006,0.004,0.007,0.007,0.009,0.008,0.008,0.003,0.003,0.003,0.006,0.004,0.025,0.018,0.005,0.02,0.003,0.002,0.004,0.002,0.037,0,0,0.001,0.002,0.005
0.11111111,0.007,0.008,0.019,0.007,0.024,0.02,0.004,0.004,0.005,0.002,0.004,0.007,0.018,0.02,0.008,0.004,0.037,0.007,0.004,0.003,0.003,0.032,0.006,0.007,0.004,0.007,0.008,0.01,0.008,0.008,0.003,0.003,0.003,0.007,0.005,0.026,0.019,0.006,0.021,0.004,0.003,0.004,0.003,0.033,0,0,0.003,0.004,0.007
0.125,0.009,0.009,0.02,0.007,0.025,0.021,0.004,0.004,0.005,0.002,0.005,0.008,0.019,0.021,0.009,0.005,0.037,0.008,0.004,0.003,0.003,0.032,0.007,0.008,0.005,0.008,0.008,0.011,0.009,0.009,0.004,0.004,0.003,0.008,0.006,0.027,0.019,0.006,0.021,0.004,0.003,0.005,0.003,0.034,0,0.001,0.005,0.005,0.008
0.13888889,0.01,0.01,0.021,0.008,0.025,0.021,0.005,0.005,0.005,0.002,0.005,0.009,0.02,0.022,0.009,0.005,0.038,0.008,0.005,0.004,0.003,0.032,0.007,0.009,0.006,0.009,0.009,0.012,0.009,0.01,0.004,0.004,0.003,0.009,0.007,0.028,0.02,0.007,0.022,0.005,0.003,0.005,0.003,0.033,0,0.003,0.006,0.007,0.01
0.15277778,0.011,0.012,0.021,0.009,0.026,0.022,0.005,0.005,0.006,0.002,0.006,0.01,0.021,0.022,0.01,0.006,0.038,0.009,0.006,0.004,0.004,0.032,0.008,0.01,0.006,0.01,0.009,0.012,0.01,0.01,0.004,0.004,0.004,0.01,0.007,0.028,0.02,0.008,0.022,0.006,0.004,0.006,0.004,0.034,0,0.005,0.008,0.009,0.012
0.16666667,0.011,0.013,0.022,0.009,0.026,0.023,0.006,0.007,0.006,0.003,0.006,0.01,0.022,0.023,0.01,0.007,0.039,0.009,0.006,0.005,0.004,0.032,0.009,0.012,0.007,0.01,0.01,0.012,0.011,0.011,0.005,0.004,0.004,0.011,0.008,0.029,0.021,0.009,0.023,0.006,0.004,0.006,0.004,0.034,0,0.005,0.009,0.011,0.012
0.18055556,0.012,0.014,0.023,0.01,0.027,0.023,0.006,0.007,0.006,0.003,0.006,0.011,0.023,0.024,0.011,0.007,0.039,0.01,0.007,0.005,0.004,0.032,0.01,0.012,0.007,0.011,0.011,0.013,0.011,0.011,0.005,0.004,0.004,0.011,0.009,0.03,0.021,0.009,0.023,0.007,0.005,0.006,0.004,0.034,0,0.007,0.01,0.012,0.014
0.19444444,0.012,0.016,0.024,0.01,0.027,0.023,0.007,0.008,0.007,0.004,0.006,0.011,0.024,0.025,0.012,0.008,0.04,0.01,0.007,0.005,0.005,0.033,0.01,0.013,0.007,0.012,0.011,0.013,0.012,0.012,0.005,0.004,0.004,0.011,0.009,0.031,0.022,0.01,0.024,0.007,0.005,0.007,0.004,0.034,0,0.009,0.012,0.014,0.016
0.20833333,0.012,0.018,0.025,0.011,0.028,0.024,0.008,0.009,0.007,0.004,0.006,0.012,0.025,0.026,0.012,0.008,0.04,0.011,0.007,0.006,0.005,0.033,0.011,0.014,0.008,0.012,0.012,0.013,0.013,0.012,0.005,0.005,0.004,0.012,0.01,0.031,0.022,0.01,0.024,0.008,0.006,0.007,0.005,0.035,0,0.011,0.013,0.015,0.018
0.22222222,0.012,0.021,0.026,0.012,0.028,0.025,0.008,0.01,0.008,0.004,0.007,0.012,0.026,0.026,0.013,0.008,0.041,0.011,0.008,0.006,0.006,0.034,0.011,0.015,0.008,0.014,0.012,0.014,0.013,0.013,0.006,0.005,0.005,0.011,0.011,0.032,0.023,0.011,0.025,0.008,0.006,0.007,0.005,0.035,0,0.013,0.015,0.018,0.02
0.23611111,0.012,0.023,0.027,0.012,0.029,0.026,0.009,0.011,0.008,0.005,0.007,0.013,0.027,0.027,0.014,0.009,0.041,0.012,0.008,0.007,0.006,0.034,0.011,0.016,0.009,0.013,0.012,0.015,0.014,0.013,0.006,0.005,0.005,0.012,0.012,0.033,0.023,0.012,0.026,0.009,0.006,0.008,0.006,0.035,0,0.014,0.016,0.019,0.021
0.25,0.012,0.025,0.028,0.013,0.029,0.026,0.009,0.012,0.009,0.005,0.008,0.013,0.028,0.027,0.014,0.009,0.042,0.012,0.009,0.008,0.006,0.034,0.012,0.017,0.009,0.014,0.013,0.015,0.014,0.014,0.007,0.005,0.005,0.012,0.012,0.034,0.024,0.013,0.026,0.009,0.007,0.008,0.007,0.035,0,0.016,0.018,0.02,0.023
0.26388889,0.012,0.027,0.029,0.013,0.03,0.027,0.01,0.012,0.009,0.005,0.008,0.013,0.029,0.028,0.015,0.009,0.043,0.013,0.009,0.008,0.007,0.034,0.012,0.018,0.009,0.015,0.013,0.015,0.015,0.014,0.007,0.005,0.006,0.012,0.013,0.034,0.024,0.014,0.026,0.01,0.007,0.008,0.006,0.035,0,0.017,0.019,0.022,0.024
0.27777778,0.012,0.029,0.03,0.013,0.03,0.027,0.01,0.013,0.009,0.006,0.009,0.014,0.03,0.028,0.015,0.009,0.043,0.013,0.01,0.008,0.007,0.034,0.012,0.019,0.01,0.015,0.014,0.016,0.015,0.015,0.007,0.006,0.006,0.011,0.013,0.034,0.025,0.014,0.027,0.01,0.008,0.008,0.006,0.036,0,0.018,0.021,0.023,0.025
0.29166667,0.012,0.032,0.032,0.014,0.031,0.028,0.011,0.014,0.009,0.006,0.009,0.014,0.032,0.029,0.016,0.01,0.043,0.014,0.01,0.009,0.007,0.035,0.013,0.02,0.01,0.015,0.014,0.016,0.016,0.015,0.008,0.006,0.007,0.012,0.014,0.035,0.026,0.015,0.028,0.011,0.008,0.009,0.007,0.035,0,0.02,0.022,0.024,0.027
0.30555556,0.013,0.035,0.033,0.015,0.031,0.028,0.011,0.015,0.01,0.006,0.009,0.015,0.033,0.03,0.017,0.01,0.044,0.014,0.01,0.009,0.007,0.035,0.013,0.021,0.011,0.016,0.014,0.016,0.016,0.016,0.008,0.006,0.007,0.012,0.015,0.036,0.026,0.016,0.029,0.011,0.009,0.009,0.007,0.036,0,0.021,0.023,0.026,0.028
0.31944444,0.013,0.037,0.034,0.015,0.031,0.029,0.012,0.016,0.01,0.007,0.01,0.016,0.034,0.031,0.017,0.01,0.044,0.015,0.011,0.01,0.008,0.035,0.014,0.023,0.011,0.017,0.015,0.017,0.017,0.016,0.008,0.007,0.008,0.012,0.016,0.037,0.027,0.016,0.029,0.012,0.009,0.009,0.008,0.035,0,0.024,0.028,0.031,0.031
0.33333333,0.014,0.04,0.035,0.016,0.032,0.03,0.012,0.017,0.011,0.007,0.01,0.016,0.035,0.031,0.018,0.01,0.045,0.016,0.011,0.01,0.008,0.036,0.014,0.024,0.011,0.017,0.015,0.017,0.017,0.016,0.009,0.007,0.008,0.012,0.016,0.038,0.028,0.017,0.029,0.012,0.009,0.01,0.008,0.036,0,0.026,0.03,0.032,0.033
0.34722222,0.014,0.042,0.036,0.016,0.032,0.03,0.012,0.018,0.011,0.008,0.01,0.017,0.037,0.032,0.019,0.01,0.046,0.016,0.012,0.01,0.008,0.036,0.015,0.025,0.012,0.017,0.016,0.018,0.018,0.017,0.009,0.007,0.008,0.012,0.017,0.038,0.028,0.018,0.03,0.013,0.01,0.01,0.008,0.036,0,0.03,0.033,0.036,0.037
0.36111111,0.015,0.045,0.037,0.017,0.033,0.03,0.013,0.019,0.011,0.008,0.011,0.018,0.038,0.033,0.019,0.011,0.046,0.016,0.012,0.011,0.009,0.037,0.015,0.026,0.013,0.018,0.016,0.018,0.018,0.018,0.009,0.007,0.009,0.013,0.018,0.039,0.029,0.019,0.03,0.014,0.01,0.01,0.009,0.036,0,0.032,0.035,0.039,0.039
0.375,0.015,0.047,0.038,0.017,0.033,0.03,0.013,0.02,0.012,0.008,0.012,0.018,0.039,0.034,0.02,0.011,0.047,0.017,0.012,0.012,0.009,0.037,0.016,0.028,0.013,0.019,0.017,0.018,0.019,0.018,0.01,0.007,0.009,0.013,0.019,0.039,0.029,0.019,0.031,0.014,0.011,0.011,0.009,0.035,0,0.034,0.038,0.043,0.041
0.38888889,0.015,0.049,0.039,0.018,0.033,0.031,0.013,0.021,0.012,0.009,0.012,0.019,0.041,0.034,0.021,0.011,0.047,0.018,0.013,0.012,0.009,0.037,0.017,0.029,0.014,0.02,0.017,0.019,0.019,0.018,0.01,0.008,0.009,0.013,0.02,0.04,0.03,0.021,0.031,0.015,0.011,0.011,0.01,0.036,0.001,0.036,0.04,0.045,0.043
0.40277778,0.016,0.052,0.04,0.019,0.034,0.032,0.014,0.021,0.013,0.009,0.013,0.02,0.042,0.035,0.022,0.011,0.048,0.018,0.013,0.013,0.01,0.038,0.017,0.03,0.014,0.02,0.018,0.019,0.019,0.019,0.01,0.008,0.01,0.014,0.021,0.041,0.031,0.022,0.032,0.016,0.012,0.011,0.01,0.036,0.003,0.037,0.042,0.051,0.044
0.41666667,0.016,0.054,0.041,0.019,0.034,0.033,0.014,0.023,0.013,0.01,0.013,0.02,0.043,0.036,0.022,0.012,0.049,0.018,0.013,0.013,0.01,0.038,0.018,0.032,0.015,0.021,0.018,0.02,0.02,0.019,0.01,0.008,0.01,0.014,0.022,0.041,0.032,0.022,0.032,0.016,0.012,0.012,0.01,0.036,0.004,0.037,0.043,0.052,0.044
0.43055556,0.017,0.056,0.042,0.02,0.034,0.033,0.015,0.023,0.014,0.01,0.013,0.021,0.045,0.037,0.023,0.012,0.049,0.019,0.014,0.013,0.01,0.039,0.019,0.033,0.015,0.022,0.018,0.02,0.021,0.02,0.011,0.008,0.011,0.015,0.023,0.042,0.032,0.024,0.033,0.017,0.013,0.012,0.011,0.037,0.004,0.037,0.043,0.052,0.044
0.44444444,0.018,0.058,0.043,0.021,0.035,0.034,0.015,0.024,0.014,0.011,0.013,0.022,0.047,0.038,0.024,0.012,0.05,0.019,0.014,0.014,0.011,0.039,0.019,0.034,0.016,0.022,0.019,0.021,0.021,0.021,0.011,0.009,0.011,0.015,0.024,0.043,0.033,0.025,0.033,0.018,0.014,0.012,0.012,0.037,0.005,0.037,0.044,0.055,0.044
0.45833333,0.019,0.061,0.044,0.021,0.035,0.035,0.016,0.025,0.014,0.011,0.014,0.023,0.048,0.039,0.025,0.012,0.051,0.02,0.015,0.014,0.011,0.039,0.02,0.036,0.017,0.023,0.019,0.022,0.022,0.021,0.012,0.009,0.011,0.016,0.025,0.043,0.034,0.026,0.034,0.018,0.014,0.013,0.012,0.037,0.005,0.037,0.044,0.056,0.044
0.47222222,0.019,0.063,0.045,0.022,0.036,0.036,0.016,0.026,0.015,0.012,0.015,0.024,0.05,0.04,0.026,0.013,0.051,0.021,0.015,0.015,0.011,0.04,0.021,0.037,0.017,0.024,0.02,0.022,0.023,0.021,0.012,0.009,0.012,0.016,0.026,0.044,0.034,0.027,0.034,0.019,0.015,0.013,0.012,0.038,0.005,0.037,0.044,0.057,0.044
